subject,timepoint,global_efficiency,char_path_length,modularity,clustering_coef,density,assortativity,transitivity,small_world
1,1,0.8617554338808694,0.004103929766218782,0.4403865612985411,0.0015890938065753592,0.7235108677617389,-0.0632888984238506,0.7768713830515878,1.1033274416610654
1,2,0.8697195951551352,0.004191842437862917,0.41642389871380175,0.0014996757435232007,0.7394391903102705,-0.07402912727748723,0.7918143049819306,1.0008684159153836
1,3,0.8765389082462253,0.004204549745976407,0.4241625356861254,0.0016823584622930108,0.7530778164924506,-0.09040354327055204,0.8008132122112639,1.1061228862496657
1,4,0.8604612576738012,0.00425556429085783,0.4320070044168544,0.0016818241143110406,0.7209225153476024,-0.05578387920453648,0.7853320861733227,1.126104446214604
2,1,0.898042143686743,0.004216548042475528,0.4117736750353569,0.0014848308673722746,0.796084287373486,-0.0661170661098366,0.8435875505709989,0.928261587545856
2,2,0.8791770366683259,0.004175398219346262,0.41444194501178266,0.0015889165675701902,0.7583540733366517,-0.07815168712919582,0.8108272416259992,1.04251098017107
2,3,0.8907250705160112,0.004175500655218211,0.40470918561986874,0.001549143073406186,0.7814501410320226,-0.10070267482106203,0.8370705025923563,0.9898715237248837
2,4,0.8943587190973951,0.004135113898125144,0.41445429913909304,0.0015258660856524743,0.7887174381947901,-0.0948705037996245,0.838057187430721,0.9800217668064528
3,1,0.8659200265472042,0.0035887532984901654,0.40137643331769296,0.0012880020535051928,0.7318400530944085,-0.0667438429609573,0.7815573315115525,1.0121811271367358
3,2,0.858868425418948,0.003538473781151485,0.396193429366566,0.0014478023309722101,0.7177368508378962,-0.07205243161082812,0.7699562225826417,1.173503240868801
3,3,0.8570598971295835,0.0039025471650903517,0.39301490403209016,0.0013477187814511385,0.714119794259167,-0.04169000130023324,0.7654603546844779,0.9956824979446625
3,4,0.8579392732702837,0.0036960286132404225,0.40262914112789183,0.001181448434890523,0.7158785465405675,-0.04161695494835239,0.766985348621772,0.9196667416480813
4,1,0.8994524639123942,0.004084455061390364,0.4200555832536748,0.0016631713267806112,0.7989049278247885,-0.09091990661613536,0.8420537289099456,1.0708542284142792
4,2,0.8864775178364028,0.004243757739505572,0.4193954814528583,0.0018120571661950074,0.7729550356728057,-0.07741793699196023,0.8205530206334063,1.1520030487807464
4,3,0.8808030529284885,0.004228691219844088,0.41691932555430206,0.0014519363733197946,0.761606105856977,-0.06531148770536531,0.8116391037853564,0.9379415021758627
4,4,0.8835573253691721,0.004044346860129431,0.4180168894210893,0.0013429429676679492,0.7671146507383442,-0.0659329190700902,0.8125653459017234,0.9025641503826488
5,1,0.8505226480836237,0.004459784722747673,0.4150205605204192,0.0015015888677838891,0.7010452961672474,-0.04884373211102728,0.7702443859148576,0.9794119098580887
5,2,0.8529450804712129,0.004267950921519849,0.4036890157585662,0.0014825659404818445,0.7058901609424257,-0.04642703528727151,0.7752711815020015,1.0060993551153385
5,3,0.8388584702173553,0.004390723736684976,0.41276863102556327,0.0014654065492867472,0.6777169404347104,-0.04779607922204368,0.7473534612526226,1.0007322048566922
5,4,0.8592666334826614,0.00417071421038661,0.42786688123193484,0.0014126447151257397,0.7185332669653227,-0.0593726400221096,0.7836417982095911,0.9650573028609961
6,1,0.8890492782478845,0.004151161889663175,0.38884732142543343,0.0017472451759100172,0.7780985564957691,-0.060257295924923904,0.82342452044962,1.1315728824966926
6,2,0.8943587190973951,0.0040006388999502245,0.3979430303120359,0.0018441812680486732,0.7887174381947901,-0.06527405669433678,0.8288574456196647,1.224095523877211
6,3,0.9034843205574913,0.003998057114152954,0.3961089009606759,0.001701445087043694,0.8069686411149826,-0.05592933649518792,0.8438520967216363,1.1053380538435988
6,4,0.9006636801061888,0.004014224236104188,0.3846625670601509,0.00157666485670845,0.8013273602123776,-0.04935880158919972,0.8441705799064687,1.0296840635910123
7,1,0.874780155964825,0.004302173574581069,0.41213016136492586,0.0014853509697740558,0.7495603119296499,-0.08369029440885345,0.8038797372836968,0.9551812443400711
7,2,0.8744814999170399,0.004400014105193344,0.41693329086860403,0.0014230044931269246,0.74896299983408,-0.07440340361823973,0.8034371800497294,0.8961666165469272
7,3,0.869968475194956,0.004328828105359271,0.4163070753629684,0.0015093845284527996,0.739936950389912,-0.08032663980542311,0.7921499285222828,0.9763720615371089
7,4,0.8639953542392567,0.004651977430894362,0.39392648513943423,0.0017215298491903503,0.7279907084785133,-0.053980418564343984,0.7847558726677211,1.0499209034698327
8,1,0.8726066036170566,0.004119828177700267,0.4017519671842798,0.0016294056751478827,0.7452132072341131,-0.07308783279087235,0.7975770695639279,1.0996630633598836
8,2,0.8656877385100381,0.004186152283391453,0.4104770601394272,0.001355752153201522,0.7313754770200763,-0.06359101110903943,0.7917328897296936,0.9129695727602507
8,3,0.8771859963497595,0.004047109578895057,0.4023346483469853,0.0014713171410195246,0.7543719926995188,-0.0630462133024387,0.8091134132569545,0.99813050104547
8,4,0.8646092583374814,0.004157567706487508,0.4038750435543821,0.0015281858865973299,0.7292185166749626,-0.06161465734392405,0.7848099250906521,1.0400939431744811
9,1,0.8878380620540899,0.004114552089430883,0.44562012440692345,0.001448346050879436,0.7756761241081799,-0.07555780390651141,0.8307696921413977,0.9439245735023551
9,2,0.8903102704496433,0.003893699178363952,0.43100438384186046,0.0014788229258897822,0.7806205408992866,-0.06713262085351993,0.8365868964230593,1.0111630406626488
9,3,0.896797743487639,0.0036692409474033765,0.43098930785391387,0.0014508274609370086,0.7935954869752779,-0.07061079652766437,0.8443946563323896,1.042456971160179
9,4,0.9008130081300812,0.003801080221834973,0.43869948105526385,0.0016668447868884119,0.8016260162601626,-0.06858919910832147,0.851074648261683,1.145541222747284
10,1,0.8791604446656711,0.003980182867595816,0.4153539353822732,0.0015687241014205509,0.7583208893313423,-0.06714998307597614,0.8059154174186229,1.080280835314954
10,2,0.8831093412974946,0.003921252700514365,0.3997253431928267,0.0017914864018761037,0.7662186825949893,-0.08030163531616302,0.8056851297588472,1.2420699587716049
10,3,0.8687406669985067,0.004289781421436889,0.41917542421185433,0.0015718777448880956,0.7374813339970134,-0.06527538774350888,0.7888061224220665,1.0278056861137956
10,4,0.8836734693877552,0.004112763406669984,0.3938123343459259,0.0017388884652147303,0.7673469387755102,-0.07459083279874244,0.8085079003429191,1.149797831219118
11,1,0.8653724904595985,0.0038484589812510257,0.4043937862158955,0.001530769158571273,0.7307449809191969,-0.04871158042707509,0.785759418965739,1.122976266633911
11,2,0.8682760909241746,0.003594291617388435,0.40085909431720795,0.0015760177217694904,0.7365521818483491,-0.056600470458620857,0.7808831213633597,1.2324157955134236
11,3,0.8710303633648582,0.0036285472828936115,0.39403530374661067,0.0016368776845343022,0.7420607267297162,-0.047425834029522704,0.7866103962650877,1.2592018846177528
11,4,0.8671644267463082,0.003984301691056866,0.3941736019500679,0.0015437778028178203,0.7343288534926166,-0.040916552434553576,0.7876911911326616,1.089639649267123
12,1,0.858752281400365,0.003857544424589316,0.40208248261647256,0.0014046966346242288,0.71750456280073,-0.06802093969148032,0.7638897831644731,1.0472673353571709
12,2,0.8344118135058901,0.004151799605939898,0.40014204365396905,0.001220695090427503,0.6688236270117803,-0.04525578626965435,0.7146300700927105,0.895192795635632
12,3,0.8461423593827775,0.00399005186991869,0.40557607764861536,0.0014819006081949603,0.692284718765555,-0.07148855351857891,0.7393229012042469,1.101141049908708
12,4,0.8398373983739837,0.004083941873734831,0.3992864910192529,0.0015013850611280764,0.6796747967479675,-0.058373932428684654,0.7270081181026311,1.1028716174800972
13,1,0.8656213704994192,0.0041923485918367925,0.43062751889603273,0.0017552653636820148,0.7312427409988386,-0.04303232755301732,0.7872361821495429,1.1803450032751241
13,2,0.864808362369338,0.004217266848515001,0.4382426474330685,0.0014511840120264039,0.729616724738676,-0.0464792688407672,0.7851214910224138,0.9733927183273181
13,3,0.8640285382445662,0.004184992195785652,0.43174774570170654,0.001670214479387612,0.7280570764891322,-0.03514913186245505,0.7872367255728839,1.1274598902012776
13,4,0.8528621204579393,0.004334566638294365,0.41389214869132374,0.0016388412183609014,0.7057242409158786,-0.036849050758314184,0.7585873619867357,1.1022855057980814
14,1,0.884270781483325,0.004215927192964991,0.3899255526568789,0.0016745568747147657,0.7685415629666501,-0.05123563415130938,0.8168704831398269,1.0734454636833262
14,2,0.8852165256346441,0.004006644120126155,0.39219361465778824,0.001714744514888939,0.7704330512692882,-0.059419766991192835,0.8170754054638825,1.1595431991402756
14,3,0.9013605442176871,0.00419647172473865,0.3926510885006726,0.0017474976103784802,0.8027210884353742,-0.07141896018944477,0.8484278413194506,1.0864205215105047
14,4,0.9098058735689397,0.004179065315911696,0.3933771859851503,0.0019980057199039465,0.8196117471378795,-0.060764034812486135,0.8623148180204452,1.2321483067146886
15,1,0.8691720590675295,0.0039674406676622155,0.3985379171423586,0.0013550702352322554,0.7383441181350588,-0.04754668276203972,0.7826191369246274,0.9541522698346464
15,2,0.8725402356064377,0.003722044877716979,0.4036783965484599,0.0016145351089849043,0.7450804712128754,-0.06645681807712824,0.7888954763097719,1.2104262013843607
15,3,0.8516011282561805,0.003856221081300836,0.39928840788366127,0.0011544430970350178,0.703202256512361,-0.05941011325521075,0.7466197523738347,0.8756414013615117
16,1,0.8560754383054034,0.004137838491123308,0.43149428578043336,0.0011711762764770731,0.7121619379459101,-0.04358102832386459,0.7740664842097644,0.8127737221710072
16,2,0.8661523145843704,0.004214264914717143,0.4182794296253727,0.0012726392917840152,0.7323046291687406,-0.06178246711983646,0.7903507809781712,0.8502709570744715
16,3,0.8555334328853492,0.003946329529616803,0.4154925845629136,0.0012382342165451691,0.7110668657706986,-0.04987936987453184,0.7710401553284438,0.9013417588970906
16,4,0.8667828106852498,0.003991213318400564,0.43844677458600345,0.0012260837257749117,0.7335656213704994,-0.049541851237525816,0.7858031733365356,0.8634825333822356
17,1,0.859465737514518,0.004039396609590172,0.4000880145960962,0.0015238918773708917,0.718931475029036,-0.03822938066447836,0.7730728869553225,1.0789332486922396
17,2,0.8427409988385598,0.004375019075825478,0.4039592615792066,0.0014851786270626967,0.6854819976771196,-0.025662836489282123,0.7421342431287831,1.0100168056105412
17,3,0.8348321442398097,0.004233703564957694,0.41599774041223353,0.001471790444390862,0.6696864111498257,-0.014022325823082483,0.7318851590030174,1.0555567490427364
17,4,0.8570598971295835,0.0038825227069851755,0.40780265012770067,0.0015925389371828503,0.714119794259167,-0.04505319468220667,0.7591891008763322,1.1788070822930148
18,1,0.8580332946186604,0.0036486877624024743,0.39871919863892535,0.00163636488957265,0.7160776505724241,-0.047689439664453354,0.7615289012103119,1.2908209702986575
18,2,0.8517338642774183,0.0038663119444167786,0.3873200668802378,0.0013500805391498298,0.7034677285548365,-0.046701591384663683,0.7426785819503093,1.0183334426765362
18,3,0.8558486809357889,0.0039447176291686915,0.3876338322188193,0.0014940511392195618,0.711697361871578,-0.03850718950295121,0.7554715377644896,1.0944894815903452
18,4,0.8596482495437199,0.003708997608594687,0.39360387979576866,0.0017189899414231814,0.7192964990874399,-0.04934843183058009,0.7677441614505777,1.3272752604349514
19,1,0.8825783972125436,0.003755070379790983,0.4216790027216798,0.0013056530615887397,0.7651567944250871,-0.08868290978312443,0.8046323407422686,0.9468650620431596
19,2,0.8803052928488468,0.003922845549527098,0.42590515375459304,0.001289018136912066,0.7606105856976937,-0.07055095297249508,0.7979297610815438,0.9002451563819273
19,3,0.8739837398373984,0.003771029847187629,0.42291729327430927,0.0014571989601332711,0.7479674796747967,-0.06759881174485842,0.7828793335938683,1.0751059933364828
19,4,0.8774348763895802,0.0035957752243239217,0.40241466313091295,0.0011306061977797138,0.7548697527791605,-0.08063619329790873,0.7906734870452429,0.8672618104575529
20,1,0.8706985233117638,0.004242949918035651,0.4013160301238967,0.0018021656416314165,0.7413970466235275,-0.06139887049659285,0.7912150935458149,1.183671933796788
20,2,0.8829268292682927,0.004115379720258855,0.39064766254298133,0.0014846547287087144,0.7658536585365854,-0.0741372478308538,0.8095257123735098,0.9779538965808198
20,3,0.8745810519329683,0.004366706816990305,0.3955262878786117,0.0018388091653761404,0.7491621038659366,-0.053663946447637875,0.795636058820422,1.1649480603243034
20,4,0.8899286543885847,0.004395546242741078,0.3905768903805843,0.0014929867578872674,0.7798573087771694,-0.08325511282824918,0.8213118599420197,0.9089857984514617
21,1,0.8553509208561474,0.003744846286875779,0.3938060156024994,0.0016859254183863252,0.7107018417122947,-0.05849401210911486,0.7660599764771051,1.3013293882476022
21,2,0.8464410154305625,0.003963213559814213,0.4102263717080965,0.0013138381598576168,0.692882030861125,-0.0817143694726306,0.741633137964163,0.9808347935083721
21,3,0.8643603782976605,0.003938020155798889,0.40460501718114683,0.001542501748497722,0.7287207565953211,-0.08145343462828422,0.7758740809532025,1.1097404281913692
21,4,0.8624854819976772,0.0039916388149991554,0.4038808132708187,0.0015541994474397572,0.7249709639953542,-0.0540494104422102,0.7814320074716604,1.106519082336987
22,1,0.8572258171561308,0.003958535174216076,0.3808363656062449,0.0018463038636775102,0.7144516343122614,-0.0743819288996832,0.7605409497419795,1.3498551730081108
22,2,0.8448315911730546,0.004044368643769753,0.40876914469700354,0.0020332932295748763,0.6896631823461091,-0.05296577878972299,0.7449844085829207,1.4885227129265024
22,3,0.8495105359216858,0.004009977561307414,0.39924884205331923,0.0018289551018509421,0.6990210718433715,-0.07023360045083006,0.7568905551576016,1.334347488166319
22,4,0.8497428239588518,0.00407572822714458,0.3873440216524651,0.001675548028779896,0.6994856479177036,-0.05152822051956437,0.7423989928614234,1.2068371084839127
